Powder(um),Grade,Speed,Power,Hatch,Thickness,Energy density,orientation,Heat temperature,Heat time,Machined,Polished,HIPed,HIP pressure (bar),Ra,Rt,Rq,Rz,f,Smax,Sa,R,N,Censor,Ref,Complete No,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,599.139,599.139,-1,3008,1,3,2,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,498.906,498.906,-1,18722,1,3,2,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,399.385,399.385,-1,35108,1,3,2,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,350.478,350.478,-1,83573,1,3,2,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,319.728,319.728,-1,90255,1,3,2,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,299.754,299.754,-1,219754,1,3,2,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,279.846,279.846,-1,259321,1,3,2,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,250.874,250.874,-1,392403,1,3,2,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,249.613,249.613,-1,720878,1,3,2,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,230.921,230.921,-1,761632,1,3,2,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,249.978,249.978,-1,10000000,0,3,2,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,229.482,229.482,-1,10000000,0,3,2,
~ 30,NA,1250,200,80,30,66.67,z,820,1.5,0,0,0,1,,,,,100,199.944,199.944,-1,10000000,0,3,2,
NA,NA,1250,170,100,30,45.33,z,650,3,0,0,0,1,13,NA,NA,NA,50,1112.764444,500.744,0.1,30983,1,30,3,
NA,NA,1250,170,100,30,45.33,z,650,3,0,0,0,1,13,NA,NA,NA,50,1113.002222,500.851,0.1,33783,1,30,3,
NA,NA,1250,170,100,30,45.33,z,650,3,0,0,0,1,13,NA,NA,NA,50,890.4733333,400.713,0.1,58071,1,30,3,
NA,NA,1250,170,100,30,45.33,z,650,3,0,0,0,1,13,NA,NA,NA,50,669.3177778,301.193,0.1,151012,1,30,3,
NA,NA,1250,170,100,30,45.33,z,650,3,0,0,0,1,13,NA,NA,NA,50,669.5577778,301.301,0.1,173740,1,30,3,
NA,NA,1250,170,100,30,45.33,z,650,3,0,0,0,1,13,NA,NA,NA,50,534.8711111,240.692,0.1,326637,1,30,3,
NA,NA,1250,170,100,30,45.33,z,650,3,0,0,0,1,13,NA,NA,NA,50,487.8977778,219.554,0.1,483312,1,30,3,
NA,NA,1250,170,100,30,45.33,z,650,3,0,0,0,1,13,NA,NA,NA,50,444.6222222,200.08,0.1,3391590,1,30,3,
NA,NA,1250,170,100,30,45.33,z,650,3,0,0,0,1,13,NA,NA,NA,50,492.06,221.427,0.1,8351897,1,30,3,
NA,NA,1250,170,100,30,45.33,z,650,3,0,0,0,1,13,NA,NA,NA,50,445.0888889,200.29,0.1,10000000,0,30,3,
NA,NA,1250,170,100,30,45.33,z,650,3,0,0,0,1,13,NA,NA,NA,50,491.2844444,221.078,0.1,10000000,0,30,3,
NA,NA,1250,170,100,30,45.33,z,650,3,0,0,0,1,13,NA,NA,NA,50,534.6222222,240.58,0.1,474862,1,30,3,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,562.02,562.02,-1,3120,1,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,562.02,562.02,-1,3722,1,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,562.02,562.02,-1,3805,1,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,562.02,562.02,-1,3890,1,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,562.02,562.02,-1,3933,1,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,562.02,562.02,-1,4441,1,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,337.212,337.212,-1,13832,1,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,337.212,337.212,-1,18631,1,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,337.212,337.212,-1,18837,1,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,337.212,337.212,-1,21983,1,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,112.404,112.404,-1,362118,1,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,112.404,112.404,-1,532740,1,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,112.404,112.404,-1,569190,1,56,4,
